,gold,silver,platinum,palladium,gold_usd,silver_usd,platinum_usd,palladium_usd
98,3875.98,39.04,1861.35,4408.93,54.38,0.55,26.12,61.86
99,3871.06,38.67,1821.92,4304.7,54.32,0.54,25.56,60.4
100,3848.83,39.72,1833.41,4282.41,54.0,0.56,25.72,60.09
101,3789.36,39.08,1850.94,4246.8,53.17,0.55,25.97,59.59
102,3770.05,38.93,1817.13,4345.22,52.9,0.55,25.5,60.97
103,3716.12,38.72,1827.31,4282.77,52.14,0.54,25.64,60.09
104,3772.23,38.79,1842.48,4247.64,52.93,0.54,25.85,59.6
105,3786.42,39.39,1848.33,4326.83,53.13,0.55,25.93,60.71
106,3773.95,39.24,1819.3,4288.98,52.95,0.55,25.53,60.18
107,3859.62,40.52,1876.31,4333.69,54.15,0.57,26.33,60.81
108,3888.16,40.7,1873.7,4336.86,54.56,0.57,26.29,60.85
109,3925.38,40.01,1910.77,4369.75,55.08,0.56,26.81,61.31
110,3939.39,0.0,1911.06,4434.75,55.27,0.0,26.81,62.22
111,3895.83,39.27,1898.62,4489.52,54.66,0.55,26.64,62.99
112,3940.32,39.57,1914.41,4476.11,55.29,0.56,26.86,62.8
113,3990.41,0.0,1922.06,4408.08,55.99,0.0,26.97,61.85
114,4003.7,39.29,1915.82,4575.79,56.18,0.55,26.88,64.2
115,3951.23,39.23,1922.26,4647.17,55.44,0.55,26.97,65.21
116,4070.13,40.63,1976.86,4809.59,57.11,0.57,27.74,67.48
117,4038.71,39.85,1875.92,4633.95,56.67,0.56,26.32,65.02
118,4122.31,40.71,1914.62,4505.0,57.84,0.57,26.86,63.21
119,4083.17,0.0,1821.7,4295.34,57.29,0.0,25.56,60.27
120,4079.71,36.91,1818.33,4302.18,57.24,0.52,25.51,60.36
121,4021.35,36.81,1797.94,4341.08,56.42,0.52,25.23,60.91
122,4021.69,36.56,1810.82,4403.1,56.43,0.51,25.41,61.78
123,4047.21,0.0,1800.29,4298.85,56.79,0.0,25.26,60.32
124,4023.9,35.7,1794.33,4324.99,56.46,0.5,25.18,60.68
125,4040.41,35.85,1795.58,4221.39,56.69,0.5,25.19,59.23
126,4014.11,35.86,1819.12,4655.36,56.32,0.5,25.52,65.32
127,4041.8,35.93,1847.95,4638.83,56.71,0.5,25.93,65.09
